id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
10435075679962880334,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9ae68bb9,24f6b932,1,0,20366,320,50,2333,0,39,-1,157
10741018122148503898,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,d787e91b,1,0,15708,320,50,1722,0,35,-1,79
10899873454337038626,1,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,cc9bf235,36d749e5,1,0,15708,320,50,1722,0,35,-1,79
11206628535377083752,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,b2519a4f,d787e91b,1,0,20366,320,50,2333,0,39,-1,157
12137765677530284783,0,14102100,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,955f98be,76dc4769,1,0,16208,320,50,1800,3,167,100074,23
12589984434235386228,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,527a374e,3223bcfe,1,0,20366,320,50,2333,0,39,-1,157
12929882818541755388,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a8536f3a,8a4875bd,1,0,15706,320,50,1722,0,35,-1,79
13707743318211293526,0,14102100,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4eeb884b,6e1e2240,1,0,19950,320,50,1800,3,167,100075,23
13887301256981709611,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,884297d2,8a4875bd,1,0,15707,320,50,1722,0,35,-1,79
14319109376266828028,0,14102100,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d3fddb79,3520c226,1,2,16858,320,50,1887,3,39,-1,23
